TimeStep;Np;Nbound;Nfixed;Nmoving;Nfloat;Nfluid
0.420005;10047;2448;2448;0;0;7599

Pos.x;Pos.y;Pos.z;Idp;Vel.x;Vel.y;Vel.z;Rhop;Mass;Press;Type;Acec.x;Acec.y;Acec.z;CellOffSpring;GradVel;Qfxx;Qfxy;Qfxz;Qfyy;Qfyz;Qfzz;StrainDot.x;StrainDot.y;StrainDot.z;VonMises3D;
 -9.0000004E-02;  9.9999998E-03; -4.4999999E-01;999;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;
 -7.9999998E-02;  9.9999998E-03; -4.4999999E-01;1090;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;
 -7.0000000E-02;  9.9999998E-03; -4.4999999E-01;1181;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  8.6648275E-12;
 -5.9999999E-02;  9.9999998E-03; -4.4999999E-01;1272;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0; -1.5166212E-09;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04; -6.0019945E-10;  0.0000000E+00; -9.1642172E-10;  3.8641792E-02;
 -5.0000001E-02;  9.9999998E-03; -4.4999999E-01;1363;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0; -8.6834895E-09;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04; -4.5956430E-09;  0.0000000E+00; -4.0878465E-09;  3.2985073E-01;
 -3.9999999E-02;  9.9999998E-03; -4.4999999E-01;1454;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0; -2.1333282E-09;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04; -1.1859007E-08;  0.0000000E+00;  9.7256789E-09;  1.1960675E+00;
 -2.9999999E-02;  9.9999998E-03; -4.4999999E-01;1545;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  5.7604872E-08;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04; -2.6940540E-08;  0.0000000E+00;  8.4545412E-08;  2.8767815E+00;
 -2.0000000E-02;  9.9999998E-03; -4.4999999E-01;1636;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  1.9037635E-07;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04; -6.2846269E-08;  0.0000000E+00;  2.5322262E-07;  5.3409948E+00;
 -9.9999998E-03;  9.9999998E-03; -4.4999999E-01;1727;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  3.5954119E-07;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04; -1.3138137E-07;  0.0000000E+00;  4.9092256E-07;  8.2144136E+00;
  0.0000000E+00;  9.9999998E-03; -4.4999999E-01;1818;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  4.6587763E-07;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04; -2.2926451E-07;  0.0000000E+00;  6.9514215E-07;  1.0854269E+01;
  9.9999998E-03;  9.9999998E-03; -4.4999999E-01;1850;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0;  3.8085122E-07;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04; -3.2934847E-07;  0.0000000E+00;  7.1019969E-07;  1.2526732E+01;
  2.0000000E-02;  9.9999998E-03; -4.4999999E-01;1880;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0; -2.0962432E-09;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04; -3.8456574E-07;  0.0000000E+00;  3.8246949E-07;  1.2624393E+01;
  2.9999999E-02;  9.9999998E-03; -4.4999999E-01;1910;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;  1.0000000E-01;  0.0000000E+00;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;0; -7.2654302E-07;  4.0000000E+04;  0.0000000E+00;  0.0000000E+00;  4.0000000E+04;  0.0000000E+00;  4.0000000E+04; -3.4490330E-07;  0.0000000E+00; -3.8163972E-07;  1.0860284E+01;
